name;Gender;Eye color;Race;Hair color;Height ;Publisher;Skin color;Alignment;Weight;Birth Date;Powers
Katniss Everdeen;Female;-;Human;-;Indefinite;;-;good;Indefinite;02/01/2009;Weapons Master,Intelligence,Cryokinesis,Energy Blasts,Weapon-based Powers,Electrokinesis
Kevin 11;Male;-;Human;Black;Indefinite;DC Comics;-;good;Indefinite;16/02/2012;Accelerated Healing,Durability,Flight,Longevity,Intelligence,Telepathy
Kick-Ass;Male;blue;Human;Blond;Indefinite;Icon Comics;-;good;Indefinite;20/12/2011;Agility,Durability,Stealth,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Size Changing,Stamina,Super Speed
Kid Flash;Male;green;Human;Red;Indefinite;DC Comics;-;good;Indefinite;15/10/2002;Energy Absorption,Flight,Telepathy,Energy Blasts
Kid Flash II;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;05/07/1998;Accelerated Healing,Longevity
Killer Croc;Male;red;Metahuman;No Hair;244;DC Comics;green;bad;356;15/12/2001;Agility,Accelerated Healing,Durability,Marksmanship,Longevity,Stamina,Super Speed,Weapon-based Powers
Killer Frost;Female;blue;Human;Blond;Indefinite;DC Comics;blue;bad;Indefinite;20/07/1997;Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed
Kilowog;Male;red;Bolovaxian;No Hair;234;DC Comics;pink;good;324;10/06/2009;Telepathy
King Kong;Male;yellow;Animal;Black;305;;-;good;0;23/06/2001;Electrokinesis
King Shark;Male;black;Animal;No Hair;Indefinite;DC Comics;-;bad;Indefinite;27/10/2007;Durability,Flight,Super Strength,Stamina,Super Speed
Kingpin;Male;blue;Human;No Hair;201;Marvel Comics;-;bad;203;14/11/2010; None
Klaw;Male;red;Human;No Hair;188;Marvel Comics;red;bad;97;16/10/1999;Durability,Super Strength,Stamina,Super Speed
Kool-Aid Man;Male;black;-;No Hair;Indefinite;;red;good;Indefinite;29/12/2010;Agility,Energy Absorption,Energy Blasts
Kraven II;Male;brown;Human;Black;191;Marvel Comics;-;bad;99;16/04/1997;Accelerated Healing,Dimensional Awareness,Durability,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed
Kraven the Hunter;Male;brown;Human;Black;183;Marvel Comics;-;bad;106;12/06/2008;Cold Resistance,Durability,Stealth,Underwater breathing,Super Strength,Telepathy,Super Speed
Krypto;Male;blue;Kryptonian;White;64;DC Comics;-;good;18;22/05/2011;Durability,Super Strength,Size Changing,Stamina
Kyle Rayner;Male;green;Human;Black;180;DC Comics;-;good;79;25/09/2003; None
Kylo Ren;Male;-;Human;-;Indefinite;George Lucas;-;bad;Indefinite;27/03/2003;Flight,Longevity,Intelligence
Lady Bullseye;Female;-;-;Black;Indefinite;Marvel Comics;-;bad;Indefinite;22/05/2004; None
Lady Deathstrike;Female;brown;Cyborg;Black;175;Marvel Comics;-;bad;58;01/02/2011;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina
Leader;Male;green;-;No Hair;178;Marvel Comics;-;bad;63;02/03/1998;Size Changing
Leech;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;22/10/2003;Durability,Flight,Super Strength,Cryokinesis,Telepathy,Energy Blasts
Legion;Male;green / blue;Mutant;Black;175;Marvel Comics;-;good;59;18/03/2009;Durability,Super Strength,Super Speed
Leonardo;Male;blue;Mutant;No Hair;Indefinite;IDW Publishing;green;good;Indefinite;12/05/1999;Accelerated Healing,Super Strength
Lex Luthor;Male;green;Human;No Hair;188;DC Comics;-;bad;95;02/04/2005;Accelerated Healing,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Density Control,Stamina,Super Speed
Light Lass;Female;blue;-;Red;165;DC Comics;-;good;54;14/01/2010;Durability,Intelligence,Size Changing
Lightning Lad;Male;blue;-;Red;155;DC Comics;-;good;65;15/03/2004;Cold Resistance,Durability,Longevity,Intelligence,Super Strength
Lightning Lord;Male;blue;-;Red;191;DC Comics;-;bad;95;21/04/2008;Weapons Master,Intelligence
Living Brain;-;yellow;-;-;198;Marvel Comics;-;bad;360;19/01/1996;Agility,Accelerated Healing,Dimensional Awareness,Flight,Longevity,Intelligence,Cryokinesis,Energy Blasts,Duplication,Density Control
Living Tribunal;-;blue;Cosmic Entity;No Hair;Indefinite;Marvel Comics;gold;neutral;Indefinite;31/10/1997;Accelerated Healing,Durability,Flight,Animal Attributes,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Size Changing,Stamina,Super Speed,Animal Oriented Powers
Liz Sherman;Female;-;-;-;Indefinite;Dark Horse Comics;-;good;Indefinite;08/07/2003;Agility,Accelerated Healing,Durability,Stealth,Weapons Master,Longevity,Super Strength
Lizard;Male;red;Human;No Hair;203;Marvel Comics;-;bad;230;09/02/2014;Super Strength
Lobo;Male;red;Czarnian;Black;229;DC Comics;blue-white;neutral;288;06/04/2003;Durability,Super Strength
Loki;Male;green;Asgardian;Black;193;Marvel Comics;-;bad;236;18/03/1997;Flight,Super Strength
Longshot;Male;blue;Human;Blond;188;Marvel Comics;-;good;36;03/03/2013;Marksmanship,Weapons Master,Super Strength,Stamina
Luke Cage;Male;brown;Human;Black;198;Marvel Comics;-;good;191;19/02/2003;Durability,Flight,Super Strength,Energy Blasts,Super Speed
Luke Campbell;Male;-;-;-;Indefinite;NBC - Heroes;-;bad;Indefinite;08/09/2000;Agility,Durability,Super Strength,Stamina,Super Speed
Luke Skywalker;Male;blue;Human;Blond;168;George Lucas;-;good;77;21/06/1996;Accelerated Healing,Longevity
Luna;Female;-;Human;-;Indefinite;Marvel Comics;-;good;Indefinite;30/08/2008;Durability,Super Strength,Stamina,Super Speed
Lyja;Female;green;-;Green;Indefinite;Marvel Comics;-;good;Indefinite;06/09/1997;Durability,Super Strength
Mach-IV;Male;brown;-;Brown;180;Marvel Comics;-;bad;79;28/01/2008;Duplication
Machine Man;-;red;-;Black;183;Marvel Comics;-;good;383;25/09/1997;Weapons Master,Intelligence,Stamina,Weapon-based Powers
Magneto;Male;grey;Mutant;White;188;Marvel Comics;-;bad;86;08/11/2012;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Stamina
Magog;Male;blue;-;Blond;Indefinite;DC Comics;-;good;Indefinite;16/07/2012;Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Underwater breathing,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed
Magus;Male;black;-;-;183;Marvel Comics;-;bad;Indefinite;25/07/2001;Accelerated Healing,Durability,Flight,Underwater breathing,Longevity,Super Strength,Telepathy,Stamina,Super Speed
Man of Miracles;-;blue;God / Eternal;Silver;Indefinite;Image Comics;-;-;Indefinite;16/12/2013;Agility,Accelerated Healing,Durability,Flight,Longevity,Super Strength,Stamina,Super Speed
Man-Bat;Male;brown;Human;Brown;Indefinite;DC Comics;-;neutral;Indefinite;04/05/2013;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Longevity,Super Strength,Duplication,Stamina,Super Speed
Man-Thing;Male;red;-;No Hair;213;Marvel Comics;green;good;225;31/10/1995;Flight
Man-Wolf;Male;brown;-;Auburn;188;Marvel Comics;-;good;90;20/01/2000;Durability,Marksmanship,Super Strength
Mandarin;Male;blue;Human;White;188;Marvel Comics;-;bad;97;06/06/2010;Telepathy
Mantis;Female;green;Human-Kree;Black;168;Marvel Comics;green;good;52;25/06/2006;Weapons Master,Longevity
Martian Manhunter;Male;red;Martian;No Hair;201;DC Comics;green;good;135;10/02/1997;Agility,Stealth
Marvel Girl;Female;green;-;Red;170;Marvel Comics;-;good;56;07/06/1998;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers
Master Brood;Male;blue;-;Black;183;Team Epic TV;-;good;81;29/05/2006;Super Strength
Master Chief;Male;brown;Human / Altered;Brown;213;Microsoft;-;good;Indefinite;28/09/2002;Durability,Super Speed
Match;Male;black;-;Black;Indefinite;DC Comics;-;bad;Indefinite;08/03/2000;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Stamina,Super Speed
Matt Parkman;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;20/07/1995;Agility,Accelerated Healing,Durability,Stealth,Energy Absorption,Longevity,Intelligence,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed
Maverick;Male;blue;-;Black;193;Marvel Comics;-;good;110;25/03/2003;Cold Resistance,Size Changing,Density Control
Maxima;Female;brown;-;Red;180;DC Comics;-;bad;72;24/11/2002;Intelligence,Telepathy
Maya Herrera;Female;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;09/10/2009;Agility,Danger Sense,Super Strength,Stamina,Super Speed
Medusa;Female;green;Inhuman;Red;180;Marvel Comics;-;good;59;20/02/2011;Agility,Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Size Changing,Super Speed
Meltdown;Female;blue;-;Blond;165;Marvel Comics;-;good;54;15/05/2006;Dimensional Awareness,Flight,Intelligence,Super Strength,Telepathy,Size Changing,Astral Travel
Mephisto;Male;white;-;Black;198;Marvel Comics;-;bad;140;10/12/1999;Intelligence
Mera;Female;blue;Atlantean;Red;175;DC Comics;-;good;72;18/11/2000;Agility,Accelerated Healing,Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina
Metallo;Male;green;Android;Brown;196;DC Comics;-;bad;90;21/01/2004;Durability,Flight,Intelligence,Super Strength,Stamina,Super Speed
Metamorpho;Male;black;-;No Hair;185;DC Comics;-;good;90;11/05/1998;Super Strength,Super Speed
Meteorite;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;29/06/2005;Agility,Stealth,Intelligence,Stamina
Metron;Male;blue;-;Black;185;DC Comics;-;good;86;18/07/2013;Flight,Super Strength
Micah Sanders;Male;brown;-;Black;Indefinite;NBC - Heroes;-;good;Indefinite;18/06/2011;Energy Blasts
Michelangelo;Male;blue;Mutant;-;Indefinite;IDW Publishing;green;good;Indefinite;23/09/2010;Intelligence
Micro Lad;Male;grey;-;Brown;183;DC Comics;-;good;77;16/05/1995;Marksmanship
Mimic;Male;brown;-;Brown;188;Marvel Comics;-;good;101;07/12/2000;Agility,Energy Absorption,Telepathy
Minna Murray;Female;-;-;-;Indefinite;Wildstorm;-;good;Indefinite;13/07/2001;Durability,Stealth,Super Strength
Misfit;Female;blue;-;Red;Indefinite;DC Comics;-;good;Indefinite;25/03/2007;Agility,Accelerated Healing,Durability,Stealth,Super Strength,Size Changing,Density Control
Miss Martian;Female;red;-;Red;178;DC Comics;-;good;61;27/08/2013;Energy Blasts
Mister Fantastic;Male;brown;Human / Radiation;Brown;185;Marvel Comics;-;good;81;07/11/2010;Agility,Accelerated Healing,Marksmanship,Super Strength
Mister Freeze;Male;-;Human;-;183;DC Comics;-;bad;86;31/01/2002;Energy Absorption,Flight,Intelligence
Mister Knife;Male;blue;Spartoi;Brown;Indefinite;Marvel Comics;-;bad;Indefinite;01/01/1999;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed
Mister Mxyzptlk;Male;-;God / Eternal;-;Indefinite;DC Comics;-;bad;Indefinite;10/06/2013;Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Stamina
Mister Sinister;Male;red;Human / Altered;Black;196;Marvel Comics;-;bad;128;06/07/2002;Intelligence,Telepathy,Possession
Mister Zsasz;Male;blue;Human;Blond;Indefinite;DC Comics;-;bad;Indefinite;01/05/1999;Stamina,Super Speed
Mockingbird;Female;blue;Human;Blond;175;Marvel Comics;-;good;61;06/06/1999;Agility,Durability,Super Strength
MODOK;Male;white;Cyborg;Brownn;366;Marvel Comics;-;bad;338;24/01/2011;Agility,Stealth,Super Strength,Telepathy,Super Speed
Mogo;Male;-;Planet;-;Indefinite;DC Comics;-;good;Indefinite;01/05/2009;Agility,Durability,Stealth,Marksmanship,Weapons Master,Stamina,Weapon-based Powers
Mohinder Suresh;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;03/07/1997;Accelerated Healing,Telepathy
Moloch;Male;-;-;-;Indefinite;DC Comics;-;bad;Indefinite;10/11/2001;Dimensional Awareness,Stealth,Intelligence
Molten Man;Male;gold;-;Gold;196;Marvel Comics;-;bad;248;30/10/1998;Super Speed
Monarch;Male;blue;-;White;193;DC Comics;-;good;90;17/01/1998;Agility,Durability,Intelligence,Super Strength,Stamina,Super Speed
Monica Dawson;Female;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;20/04/1997;Agility,Intelligence
Moon Knight;Male;brown;Human;Brown;188;Marvel Comics;-;good;101;05/08/2010;Durability,Super Strength,Super Speed
Moonstone;Female;blue;-;Blond;180;Marvel Comics;-;bad;59;19/07/2002;Weapon-based Powers
Morlun;Male;white / red;-;Black;188;Marvel Comics;-;bad;79;05/04/2005;Agility,Durability,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers
Morph;Male;white;-;No Hair;178;Marvel Comics;-;good;79;09/03/2012;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Moses Magnum;Male;brown;-;Black;175;Marvel Comics;-;bad;72;30/04/2012;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina
Mr Immortal;Male;blue;Mutant;Blond;188;Marvel Comics;-;good;70;31/03/2007;Flight
Mr Incredible;Male;blue;Human;Blond;201;Dark Horse Comics;-;good;158;20/02/2003;Accelerated Healing,Durability,Stealth,Energy Absorption,Flight,Stamina,Super Speed
Ms Marvel II;Female;blue;-;Red;173;Marvel Comics;-;good;61;01/10/2009;Weapon-based Powers
Multiple Man;Male;blue;-;Brown;180;Marvel Comics;-;good;70;14/08/1996;Energy Absorption
Mysterio;Male;brown;Human;No Hair;180;Marvel Comics;-;bad;79;23/12/2005;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Mystique;Female;yellow (without irises);Mutant;Red / Orange;178;Marvel Comics;blue;bad;54;12/11/2008;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Namor;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;07/05/2002;Accelerated Healing,Durability,Energy Absorption,Longevity,Super Strength,Stamina,Super Speed
Namor;Male;grey;Atlantean;Black;188;Marvel Comics;-;good;125;16/10/2002;Agility,Stamina
Namora;Female;blue;-;Blond;180;Marvel Comics;-;good;85;18/11/2011;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Namorita;Female;blue;-;Blond;168;Marvel Comics;-;good;101;24/07/1995;Agility,Flight,Super Strength,Stamina,Audio Control,Super Speed
Naruto Uzumaki;Male;-;Human;-;168;Shueisha;-;good;54;18/07/2000;Durability,Super Strength,Energy Blasts,Stamina
Nathan Petrelli;Male;brown;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;02/06/2003;Durability,Flight,Super Strength,Stamina
Nebula;Female;blue;Luphomoid;No Hair;185;Marvel Comics;blue;bad;83;30/07/1999;Agility,Stamina
Negasonic Teenage Warhead;Female;black;Mutant;Black;Indefinite;Marvel Comics;-;good;Indefinite;14/02/1999;Cold Resistance,Durability,Super Strength,Stamina,Super Speed
Nick Fury;Male;brown;Human;Brown / White;185;Marvel Comics;-;good;99;22/01/2005;Weapon-based Powers
Nightcrawler;Male;yellow;-;Indigo;175;Marvel Comics;-;good;88;19/02/2002;Intelligence
Nightwing;Male;blue;Human;Black;178;DC Comics;-;good;79;05/08/2011;Dimensional Awareness,Stealth,Weapons Master,Intelligence
Niki Sanders;Female;blue;-;Blond;Indefinite;NBC - Heroes;-;good;Indefinite;27/06/2011;Weapon-based Powers
Nina Theroux;Female;-;Alpha;-;Indefinite;SyFy;-;good;Indefinite;13/02/1996;Marksmanship,Weapons Master,Intelligence,Weapon-based Powers
Nite Owl II;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;26/02/2002;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Northstar;Male;blue;-;Black;180;Marvel Comics;-;good;83;06/12/1997;Agility,Stealth,Marksmanship,Weapons Master,Stamina,Weapon-based Powers
Nova;Male;brown;Human;Brown;185;Marvel Comics;-;good;86;17/12/1996;Agility,Stealth,Weapons Master,Longevity
Nova;Female;white;Human / Cosmic;Red;163;Marvel Comics;gold;good;59;26/12/2002;Agility,Stealth,Stamina
Odin;Male;blue;God / Eternal;White;206;Marvel Comics;-;good;293;08/06/2006;Agility,Cold Resistance,Marksmanship,Weapons Master,Animal Attributes,Animal Oriented Powers
Offspring;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;28/09/1995;Energy Absorption
Omega Red;Male;red;-;Blond;211;Marvel Comics;-;bad;191;10/04/2011;Agility,Stealth,Weapons Master,Intelligence,Stamina
Omniscient;Male;brown;-;Black;180;Team Epic TV;-;good;65;16/07/2011;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Animal Oriented Powers
One Punch Man;Male;-;Human;No Hair;175;Shueisha;-;good;69;01/01/2005;Power Augmentation,Telepathy
One Above All;-;-;Cosmic Entity;-;Indefinite;Marvel Comics;-;neutral;Indefinite;17/02/2012;Agility,Super Strength,Size Changing,Density Control
Onslaught;Male;red;Mutant;No Hair;305;Marvel Comics;-;bad;405;03/01/2013;Agility,Durability,Super Strength,Stamina
Oracle;Female;blue;Human;Red;178;DC Comics;-;good;59;29/02/1996;Accelerated Healing,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Size Changing,Stamina,Super Speed,Darkforce Manipulation
Osiris;Male;brown;-;Brown;Indefinite;DC Comics;-;good;Indefinite;20/01/1998;Accelerated Healing,Durability,Super Strength
Overtkill;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;17/02/1998;Agility,Accelerated Healing,Durability,Danger Sense,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Ozymandias;Male;blue;Human;Blond;Indefinite;DC Comics;-;bad;Indefinite;08/03/2012;Agility,Accelerated Healing,Durability,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Parademon;-;-;Parademon;-;Indefinite;DC Comics;-;bad;Indefinite;18/05/1997;Agility,Dimensional Awareness,Flight,Longevity,Energy Blasts
Paul Blart;Male;-;Human;-;170;Sony Pictures;-;good;117;30/10/1995;Super Strength,Energy Blasts,Super Speed,Weapon-based Powers
Penance;-;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;25/07/1995;Agility,Durability,Danger Sense,Super Strength,Super Speed,Weapon-based Powers
Penance I;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;01/09/2006;Agility,Durability,Energy Absorption,Super Strength
Penance II;Male;blue;-;Blond;183;Marvel Comics;-;good;89;31/10/2001;Agility,Accelerated Healing,Flight,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Penguin;Male;blue;Human;Black;157;DC Comics;-;bad;79;23/04/2006;Telepathy,Possession
Peter Petrelli;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;31/05/2013;Agility,Stealth,Flight,Intelligence,Super Speed,Darkforce Manipulation
Phantom;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;02/07/2009;Stealth,Weapons Master,Intelligence
Phantom Girl;Female;blue;-;Black;168;DC Comics;-;good;54;16/06/2005;Agility,Durability,Stealth,Stamina
Phoenix;Female;green;Mutant;Red;168;Marvel Comics;-;good;52;16/08/2006;Agility,Accelerated Healing,Durability,Super Strength,Energy Blasts,Super Speed
Plantman;Male;green;Mutant;Grey;183;Marvel Comics;-;bad;87;19/07/2004;Accelerated Healing,Durability,Longevity,Intelligence,Super Strength,Stamina
Plastic Lad;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;02/09/2010;Cold Resistance,Durability,Super Strength
Plastic Man;Male;blue;Human;Black;185;DC Comics;-;good;80;30/07/2013;Marksmanship,Weapons Master,Energy Blasts
Plastique;Female;blue;-;Red;168;DC Comics;-;bad;55;01/01/1997;Flight,Energy Blasts,Audio Control
Poison Ivy;Female;green;Human;Red;168;DC Comics;green;bad;50;09/03/1998;Agility,Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Stamina,Super Speed
Polaris;Female;green;Mutant;Green;170;Marvel Comics;-;good;52;19/03/2000;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Power Girl;Female;blue;Kryptonian;blond;180;DC Comics;-;good;81;31/05/1998;Agility,Dimensional Awareness,Durability,Energy Absorption,Flight,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed
Power Man;Male;-;Mutant;-;Indefinite;Marvel Comics;-;good;Indefinite;15/03/2005;Agility,Flight,Super Strength,Super Speed,Animal Oriented Powers
Predator;Male;-;Yautja;-;213;Dark Horse Comics;-;bad;234;30/05/2001;Agility,Accelerated Healing,Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed
Professor X;Male;blue;Mutant;No Hair;183;Marvel Comics;-;good;86;19/09/2004;Agility,Durability,Flight,Marksmanship,Super Strength,Energy Blasts,Super Speed
Professor Zoom;Male;blue;Human;Strawberry Blond;180;DC Comics;-;bad;81;28/11/1996;Cold Resistance,Durability,Stealth,Underwater breathing,Super Strength,Telepathy,Super Speed
Proto-Goblin;Male;green;-;Blond;Indefinite;Marvel Comics;-;bad;Indefinite;09/02/2003;Underwater breathing,Super Strength,Stamina
Psylocke;Female;blue;Mutant;Purple;180;Marvel Comics;-;good;70;08/03/1996;Flight
Punisher;Male;blue;Human;Black;183;Marvel Comics;-;good;90;20/11/2010;Accelerated Healing,Super Strength,Stamina
Purple Man;Male;purple;Human;Purple;180;Marvel Comics;purple;bad;74;06/07/2011;Accelerated Healing,Flight,Animal Attributes,Super Strength,Stamina,Animal Oriented Powers
Pyro;Male;blue;-;Blond;178;Marvel Comics;-;bad;68;22/03/2010;Durability,Super Strength
Q;Male;-;God / Eternal;-;Indefinite;Star Trek;-;-;Indefinite;27/04/2004;Cold Resistance,Durability,Energy Absorption,Super Strength,Stamina
Quantum;Male;-;-;-;Indefinite;HarperCollins;-;good;Indefinite;28/02/2005;Agility,Durability,Flight,Super Strength,Stamina,Audio Control,Super Speed
Question;Male;blue;Human;Blond;188;DC Comics;-;good;83;13/07/2008;Agility,Flight,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina
Quicksilver;Male;blue;Mutant;Silver;183;Marvel Comics;-;good;79;21/05/2012;Agility,Durability,Stealth,Flight,Weapons Master,Super Strength,Telepathy,Stamina,Super Speed
Quill;Male;brown;-;Brown;163;Marvel Comics;-;good;56;19/11/2004;Agility,Accelerated Healing,Dimensional Awareness,Stealth,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Size Changing,Density Control,Stamina,Super Speed,Possession,Electrokinesis,Darkforce Manipulation
Ra's Al Ghul;Male;green;Human;Grey;193;DC Comics;-;bad;97;13/12/2008;Energy Absorption,Energy Armor
Rachel Pirzad;Female;-;Alpha;-;Indefinite;SyFy;-;good;Indefinite;01/06/2001;Stealth,Marksmanship,Weapons Master,Stamina
Rambo;Male;brown;Human;Black;178;;-;good;83;11/04/2006;Agility,Accelerated Healing,Stealth,Danger Sense,Intelligence,Super Strength,Stamina,Dexterity,Super Speed
Raphael;Male;-;Mutant;No Hair;Indefinite;IDW Publishing;green;good;Indefinite;12/02/2001;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Raven;Female;indigo;Human;Black;165;DC Comics;-;neutral;50;12/12/2007;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Ray;Male;green;Human;Red;178;DC Comics;-;good;70;26/11/2008;Agility,Durability,Flight,Super Strength,Energy Blasts,Stamina,Super Speed
Razor-Fist II;Male;blue;-;No Hair;191;Marvel Comics;-;bad;117;20/11/2009;Agility,Flight,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Red Arrow;Male;green;Human;Red;180;DC Comics;-;good;83;24/03/1999;Agility,Flight,Super Strength,Telepathy,Energy Blasts,Super Speed
Red Hood;Male;blue;Human;Black;183;DC Comics;-;neutral;81;31/08/1998;Stealth,Longevity,Intelligence,Super Strength,Telepathy,Stamina
Red Hulk;Male;yellow;Human / Radiation;Black;213;Marvel Comics;red;neutral;630;10/03/2002;Accelerated Healing,Stamina
Red Mist;Male;-;-;-;Indefinite;Icon Comics;-;bad;Indefinite;21/08/2002;Agility,Durability,Marksmanship,Weapons Master,Longevity,Intelligence,Stamina
Red Robin;Male;blue;Human;Black;165;DC Comics;-;good;56;28/05/2012;Durability,Energy Absorption,Flight,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed
Red Skull;Male;blue;-;No Hair;188;Marvel Comics;-;bad;108;06/06/2004;Durability,Energy Absorption,Flight,Super Strength,Energy Blasts
Red Tornado;Male;green;Android;No Hair;185;DC Comics;-;good;146;26/07/1996;Agility,Durability,Energy Absorption,Super Strength,Energy Blasts,Stamina,Super Speed
Redeemer II;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;01/12/2002;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Marksmanship,Intelligence,Energy Blasts,Electrokinesis
Redeemer III;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;08/04/2011;Durability,Flight,Super Strength,Weapon-based Powers
Renata Soliz;Female;-;-;-;Indefinite;HarperCollins;-;good;Indefinite;23/02/2004;Accelerated Healing,Super Speed
Rey;Female;hazel;Human;Brown;297;George Lucas;-;good;Indefinite;19/06/2003;Agility,Accelerated Healing,Stealth,Weapons Master,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Rhino;Male;brown;Human / Radiation;Brown;196;Marvel Comics;-;bad;320;07/09/2010;Cold Resistance,Flight,Intelligence
Rick Flag;Male;blue;-;Brown;185;DC Comics;-;bad;85;22/02/2013;Durability,Weapon-based Powers
Riddler;Male;-;-;-;Indefinite;DC Comics;-;bad;Indefinite;24/09/2001;Durability,Size Changing
Rip Hunter;Male;blue;Human;Blond;Indefinite;DC Comics;-;good;Indefinite;02/04/2011;Accelerated Healing,Flight,Super Strength,Energy Blasts,Stamina
Ripcord;Female;green;-;Black;180;Marvel Comics;-;good;72;23/06/2007;Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed
Robin;Male;blue;Human;Black;178;DC Comics;-;good;79;13/09/2010;Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Robin II;Male;blue;Human;Red;183;DC Comics;-;good;101;07/08/2011;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed
Robin III;Male;blue;Human;Black;165;DC Comics;-;good;56;04/10/1995;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Robin V;Male;blue;Human;Black;137;DC Comics;-;good;38;10/06/2010;Stealth,Flight,Longevity,Intelligence,Super Strength,Duplication,Size Changing
Robin VI;Female;green;Human;Red;Indefinite;DC Comics;-;neutral;Indefinite;12/07/2013;Durability,Flight,Longevity,Intelligence,Super Strength,Size Changing,Animal Oriented Powers
Rocket Raccoon;Male;brown;Animal;Brown;122;Marvel Comics;-;good;25;08/12/1998;Cryokinesis
